#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00004616.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 2.23909084997781e-005 120 -308.759743342993 2109.44070471441 -0.0110411076159813 0.00903363350399492 0.200250972501061 0.226348624405602 0.807420388443921 0.278451764025594 3.8960892480889 3.8980375490321 1 3.73199343136242e-005 
00004616.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 2.5417512995073e-005 121 -280.966266217415 2115.44146741874 -0.0114457456089309 0.00969830353124869 0.200859940933698 0.231823359244624 0.808388810761517 0.0347864675326141 3.67296479251863 3.67493882242826 1 3.79441140064802e-005 
00004616.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 2.35364336812779e-005 112.267939037063 -347.417038010572 2063.04862760913 -0.0144163550235869 0.00874933015661644 0.182881266441061 0.12288155236498 0.801885376445341 0.309984520802424 4.43151186210763 4.43421340065697 1 3.73199343136242e-005 
00004616.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 2.63881309546644e-005 113.185553591452 -321.406734703824 2068.55503356318 -0.0147848072153782 0.00932545843363916 0.183146347949628 0.119754860788204 0.801150091610301 0.169847606434779 3.44657847859325 3.44660950579024 1 3.79441140064802e-005 
00004616.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 2.47033361963969e-005 108.46663731062 -362.345428450141 2040.2411113099 -0.0170640771662711 0.00872620649118779 0.180380707261404 0.120849478416034 0.804048560431113 0.256353803891665 3.45147935886327 3.45296064048096 1 3.73199343136242e-005 
00004616.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 2.72824471402734e-005 109.340453577408 -338.537871325194 2045.48465884659 -0.0173143647822894 0.00922659298988958 0.18074253835987 0.118539155103417 0.803346689508131 0.161181700885776 3.49529901141804 3.49530409037475 1 3.79441140064802e-005 
00004616.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 2.79447533982651e-005 101.611701233881 -381.587623351726 1999.11231168661 -0.0252132086240827 0.00885801956159004 0.17685649728103 0.117752826058173 0.807075295327818 0.156713996276025 3.05931211402348 3.059312477305 1 3.73199343136242e-005 
00004616.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 2.9870209835305e-005 102.41883648519 -362.881345757944 2003.95560840948 -0.0249250610310015 0.0092075221115817 0.177232126554041 0.116548958267839 0.806528840741296 0.0786975614015073 3.05172679273873 3.05268612454435 1 3.79441140064802e-005 
00004616.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 3.19146146769799e-005 95.5460382004444 -391.175417119408 1962.71933389103 -0.0410999315592943 0.00909931664934715 0.174355961291642 0.115438623055021 0.80921578300534 0.127372926592924 2.73757513153058 2.73771679191223 1 3.73199343136242e-005 
00004616.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 3.31997998619637e-005 96.2996161637738 -377.483707384487 1967.24112553767 -0.0393509716465554 0.00932563880061121 0.174659176096739 0.114901373724073 0.808839175582342 0.114250348226411 2.66581467415098 2.66612952479617 1 3.79441140064802e-005 
