#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 4.43634944523805e-005 119.999999999999 -385.152419786525 2456.80780225758 -0.0466241485516553 0.0107594188965355 0.173085347102049 0.1157351021885 0.810515703943086 0.0358795555612964 2.68645818033718 2.68910773963728 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 4.44177020718622e-005 121 -378.816480405845 2462.80781933298 -0.0437368357579554 0.0108214851359986 0.172798867910013 0.116627265439936 0.810927078468708 -0.0276726851777765 3.17953776859083 3.18479375921227 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 4.51333154160911e-005 113.233769693731 -420.529492736734 2416.21066291357 -0.0856720585715332 0.0104884350329022 0.169816322317358 0.113752080965344 0.81347169864777 -0.0981054263808492 5.81382547844685 5.81934206196522 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 4.51385540586278e-005 114.159916277423 -414.957215887834 2421.7675440659 -0.0770143432733429 0.0105374125045586 0.169439453519242 0.114463358586751 0.81394458717276 -0.0543905924711467 2.76502582180126 2.77295973531507 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 4.64519645866352e-005 109.853291609477 -431.870339254219 2395.92820978254 -0.147453455868983 0.0104652123220258 0.167725818414788 0.112949400249254 0.815430144422346 0.0241501300743799 2.29897399364505 2.30270743818838 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 4.63426898915507e-005 110.735037762903 -427.321748707536 2401.21865228156 -0.124636038371489 0.0104980175579399 0.167381474050201 0.113708663244885 0.815876642763984 -0.0326395511190366 2.4870092377179 2.49409448953469 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 5.07319150377287e-005 103.442659282221 -441.310938954788 2357.46576400339 0.480226684512842 0.0106053030400944 0.164812897752679 0.111263875898298 0.818084140716382 -0.0146483688244821 2.5167676905805 2.52249398868605 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 5.03110128982849e-005 104.251236016817 -439.25111957477 2362.3170918268 0.994662817890768 0.0106017375291577 0.164463123872785 0.112119182620529 0.818547381608206 -0.0915950962494802 2.53292422141398 2.54492128198838 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 5.6832416130422e-005 97.5328301687509 -435.401203801721 2322.00871098042 0.10600621546446 0.0109198057066126 0.163048175241149 0.109362667711392 0.81957664208525 -0.0586131722923014 1.77759597222913 1.79041151420002 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 5.61071218526313e-005 98.2821558460163 -435.668355318999 2326.50443657631 0.117076133209607 0.0108874175099429 0.162764506654295 0.110121909209735 0.819959396925945 -0.118217993754543 1.97858845834092 1.99739388131628 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 6.60222361841325e-005 91.2198149703711 -410.961299559968 2284.13351458346 0.0619126459852813 0.0114375772444496 0.161284176032754 0.107693124095313 0.821104260753731 -0.165391058360513 1.8675468328625 1.89486796611199 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 6.50322106232928e-005 91.9104773892621 -413.232915073055 2288.27717723875 0.0646888975762727 0.0113866412583546 0.161116933541586 0.108252706303379 0.821343624190384 -0.160679486510191 1.73901751764397 1.76747740251305 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 8.36100497788129e-005 82.838314745545 -341.983842931854 2233.85005339578 0.0433227241518223 0.0124064990650737 0.158877141961522 0.105852789434616 0.823251912093784 -0.158835546771146 1.53153952774467 1.56340850587049 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 8.22981976688034e-005 83.4563896274389 -346.597272606257 2237.55808945373 0.0442146279737395 0.0123416411660154 0.158854317927133 0.106203620402021 0.823319728393971 -0.170100958314034 1.44033905094874 1.47662192930041 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.000101723256914449 76.7168293386781 -255.883499420186 2197.12684661483 0.0374430599577782 0.0133329825844858 0.156970354076148 0.104612024753282 0.824984655905295 -0.163498622361395 1.38121048317246 1.41750694272253 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 0.000100012800791205 77.2857508507334 -263.21160817828 2200.53983689348 0.0378890727418854 0.0132520520637008 0.157034328313358 0.104866031136751 0.824953448313432 -0.169444226837572 1.34576266022247 1.38437206279779 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 0.000125277805535211 70.8916311579532 -131.106614965214 2162.18307721329 0.0344560442912494 0.0144432508368982 0.155021448998394 0.103352466031123 0.8267594651387 -0.148907841631653 1.39353562053459 1.42633697035635 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 0.000122959813540998 71.4158007330129 -142.456137113172 2165.32736449617 0.0346685676528921 0.0143397981625185 0.155145406385287 0.103541714611446 0.826660162909608 -0.152560524866613 1.37511413737964 1.40913790956669 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 0.000168341889821198 63.7235682032325 117.911117952143 2119.18826467152 0.0330052670636634 0.0162650310474304 0.1525106591784 0.101464558444241 0.829017438300053 -0.0264722770278368 1.1439661415944 1.15830554766134 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 0.000164882680945018 64.1933393379807 99.1667278169443 2122.00580182921 0.0330404354737758 0.0161272013463869 0.1526707895202 0.10160827244581 0.828876117057457 -0.0285937759124733 1.19669052613844 1.21072575664296 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 0.000214791873759866 58.7267667404233 402.916878007947 2089.22208763961 0.0332558747834998 0.0180142517991669 0.150557057710318 0.100101384966039 0.830791037188061 -0.0385082836471521 1.01837394397151 1.03663751488756 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 0.000210006698328283 59.1584039860524 375.673568914967 2091.81040378312 0.0331929722667837 0.0178425109387595 0.150733941132993 0.100211361397388 0.830628703652805 -0.0400865288077332 1.04046298855113 1.05863548029521 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.000280208314697356 54.0959595826425 818.733916675498 2061.45785087182 0.0345284873650236 0.0202101835629043 0.148499870974533 0.0990361632624042 0.832705911906526 -0.0753995955834514 1.03312854813581 1.05855629179959 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 0.000273495000127966 54.4921406794094 779.21794561023 2063.83282275833 0.0343799335171718 0.0199969803221895 0.148682154772202 0.0991133725252369 0.832534110439408 -0.0653191798708565 0.989837930787383 1.01410947374095 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 0.000407166368307124 48.5150011213871 1646.17594889743 2028.01209189117 0.0375095733024461 0.0238519415521508 0.145780259998597 0.0981133618218887 0.835297388330662 -0.0669910237503758 0.870682633802713 0.898591878375219 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 121 0 0 0 0.5 0.00039716016345057 48.8685654157493 1586.0519232444 2030.13032570281 0.0372791496650225 0.023588331315099 0.145957126108101 0.0981529243768412 0.835126395685694 -0.0674875657650077 0.880317643724154 0.908052417416434 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 120 0 0 0 1 0.000542574064465186 44.6786967545733 2541.3846104103 2005.03691911458 0.0405460076772028 0.0271431218530381 0.143836328077469 0.0976601182562606 0.837174901064187 -0.0658311752910464 0.728142316052602 0.760957438587725 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 121 0 0 0 1 0.000529352086857315 45.0031258120273 2461.39271064703 2006.97932853636 0.0402654900865657 0.0268425723457696 0.143995221025053 0.0976900618819092 0.837020587394085 -0.065596141310516 0.7359077326192 0.768323712086642 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 120 0 0 0 2 0.000724443086201931 41.1512722473501 3753.51002982744 1983.92966081309 0.0442628309678358 0.0309600720136953 0.142215610591512 0.0971959484105745 0.83873065769026 -0.0806531442492372 0.594005342375861 0.639124360002574 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 121 0 0 0 2 0.000707079774111468 41.4490586968129 3648.11690453204 1985.71091006655 0.0439340781995572 0.0306200959671537 0.142334441548225 0.0972325801849705 0.838616873892511 -0.0781821566809542 0.607424752271436 0.650724858687548 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 120 0 0 0 5 0.00105262974380497 36.9254202416085 5953.65384049521 1958.67792757578 0.0500428630816953 0.0367525166502402 0.140992286599437 0.0962871366579714 0.839841071956588 -0.115369921757166 0.482521028131841 0.553215260022 1 4.64519645866352e-005 
00004650.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 121 0 0 0 5 0.00102920281104745 37.1914567931636 5812.10230376767 1960.26676740129 0.0496770006790368 0.0363760416585456 0.141039557044167 0.0963481303675773 0.839801108687959 -0.114191478997312 0.486023677675851 0.55570066452641 1 4.63426898915507e-005 
00004650.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 120 0 0 0 10 0.00137598482551982 34.0319413715106 8129.02801403911 1941.41891120593 0.0548824128319257 0.0415872712778258 0.140678461554825 0.0953650046779195 0.840047645395577 -0.121417104959459 0.455420971204842 0.532858388199481 1 4.64519645866352e-005 
