#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00000018.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 4.52762162368952e-005 120 -225.908337063081 2225.23367779629 -0.0211143860166046 0.0120062194996295 0.217772752742923 0.220034643319382 0.788831998576557 0.130988055414951 4.05285936412258 4.05293182308249 1 5.69007628139836e-005 
00000018.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 4.64254501243759e-005 121 -214.014712263482 2231.23399153714 -0.020667987927656 0.0122376244308346 0.219097495367649 0.226298802364752 0.789332968606013 0.319937858917408 3.41803110408842 3.42199760105037 1 5.73253798226911e-005 
00000018.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 4.69856896343462e-005 112.640396818157 -261.864199017248 2181.07652539147 -0.0288243136572473 0.0116694524027906 0.200900297156268 0.126042647268777 0.784585650803267 0.100668696516271 2.91821478630086 2.91872467380922 1 5.69007628139836e-005 
00000018.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 4.81118967145154e-005 113.562472679522 -250.608530898586 2186.60928801419 -0.0279756984561358 0.0118767697175592 0.201601961407889 0.124711100467415 0.783680109866123 0.224408616184805 2.90210602790714 2.90293059396872 1 5.73253798226911e-005 
00000018.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 4.82622410167965e-005 108.99204484325 -277.629638539391 2159.18676204055 -0.0351369944083997 0.0115638240556436 0.198097556264285 0.124926564024469 0.787174221087911 0.133222712621483 2.60550540065974 2.60559828249517 1 5.69007628139836e-005 
00000018.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 4.92947244504824e-005 109.869786058771 -267.13168363853 2164.45349120165 -0.0338590397858687 0.0117497455832137 0.19870079344576 0.123884489539643 0.786413802793241 0.171039397544711 3.0780483295903 3.07808896471234 1 5.73253798226911e-005 
00000018.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 5.20076240273144e-005 102.283820241944 -299.909287477032 2118.93843692228 -0.0581592423255134 0.0115324470721912 0.194142019934444 0.123547567132417 0.790863278184059 0.149040710489618 2.51166196491799 2.5116695737911 1 5.69007628139836e-005 
00000018.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 5.27639655032173e-005 103.089791972328 -291.29012121177 2123.77447378581 -0.0546753130241005 0.0116711026633938 0.194457549658468 0.123141804359821 0.790488312820791 0.184057634251567 2.65993439042081 2.66009067362971 1 5.73253798226911e-005 
00000018.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 5.69007628139836e-005 96.2552957083037 -312.604002682215 2082.76862554732 -0.130618074822912 0.0116513240517354 0.191973582067163 0.121918404882266 0.792752980745136 0.101641244796275 2.26530175686259 2.2659353619284 1 5.69007628139836e-005 
00000018.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 5.73253798226911e-005 97.0031872531705 -306.086978337622 2087.25609073697 -0.11477121324303 0.0117444129859753 0.192119621083735 0.121867859554279 0.792600906151774 0.0932403130180853 2.27484830294463 2.27569256860696 1 5.73253798226911e-005 
00000018.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 6.39084338055411e-005 89.906161637202 -317.077216007325 2044.67573421489 0.665069955126616 0.0119197735549166 0.190002694827943 0.120335079338191 0.794459114744631 0.0935352899427196 1.98984897830701 1.9908049482313 1 5.69007628139836e-005 
