#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 3.05874881356727e-005 119.999999999999 -274.993350914727 2159.06572633292 -0.01458066123332 0.0102374855468125 0.174482510818196 0.178667774131132 0.820502029410561 0.0706395154025799 3.99927642395279 4.00017078351839 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 2.83350348437386e-005 121 -285.263939649787 2165.06513844261 -0.0136207872993527 0.00992371646095262 0.178200190330702 0.184657900744814 0.818205008715484 0.329682168375426 4.31459992048013 4.31812557039443 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 3.16911186680242e-005 112.439071994545 -314.022002880645 2113.70044634776 -0.0192524840845891 0.00989019122208098 0.161937156373301 0.100312395646148 0.819520795587965 0.0381616884000778 3.11829538444429 3.120491864727 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 2.9495078260244e-005 113.353630062252 -324.244259042516 2119.18722158745 -0.0179288974762565 0.00960047033419207 0.16441891201323 0.0992153428755325 0.816923795622938 0.275846940375402 3.21489161265448 3.21715374095108 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 3.28086348081372e-005 108.70501417751 -330.00970419757 2091.29639111726 -0.0229590153540965 0.00981632621200481 0.159123735021699 0.0981745411484441 0.822055078982911 0.123881411246934 3.06079616107832 3.06095662185589 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 3.06872066040047e-005 109.572069974155 -339.844934558022 2096.49817220437 -0.0213514091722775 0.00954801736642658 0.161130603921524 0.0973165172616328 0.819960331378872 0.241231983022188 2.97387282255954 2.97511631594159 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 3.60056099870616e-005 101.908008476553 -352.435084810784 2050.51519132204 -0.0350174653873362 0.00984412852883592 0.155101347526688 0.0951678969714748 0.825696880570709 0.117713191630145 2.4371174391374 2.43740608128468 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 3.40868385418086e-005 102.701866424549 -360.85111769001 2055.27783821067 -0.0323490354509047 0.00962627079942053 0.156297696609429 0.0948671607048438 0.82447385793165 0.229700237109544 3.11433443685917 3.11522484407381 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 4.00109612616366e-005 95.8510334082264 -365.778681637645 2014.17438630877 -0.0621748527404712 0.00999664200354482 0.152307493978943 0.0930224672688862 0.828228470629586 0.189431942212207 2.30027625727521 2.30053061377891 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 3.82881775115467e-005 96.5894771084057 -372.543270464148 2018.60459886328 -0.056137966009982 0.00982297964564758 0.153069172724443 0.0929796064393259 0.827466798490347 0.245484161748023 2.55589229789546 2.5574855812706 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 4.54554811689031e-005 89.5035610840147 -372.601725821712 1976.09097338319 -0.23429023616516 0.0102607363978287 0.149848003948097 0.0909414835957729 0.830441981208668 0.25336787007905 2.35903550390487 2.36107621760424 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 4.38932604774717e-005 90.1889252374314 -377.61739542785 1980.20275056409 -0.180748139724038 0.0101233302088761 0.150387108136395 0.0909515518557974 0.829907224786983 0.222965363136133 2.15341465176189 2.1544799087393 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 5.5217468499277e-005 81.1763180563933 -366.513006610631 1926.13006309616 0.11100942430459 0.0107852910068138 0.146799567887434 0.0884618198995295 0.833205235787322 0.0949718570814022 1.87377508922848 1.87474352827811 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 5.37624021255538e-005 81.7933500049125 -369.306530776961 1929.83187501495 0.122518085238753 0.0106788802969726 0.147152090351289 0.0885221088067999 0.832861112398 0.16346515973787 2.00076348951094 2.00078046586137 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 6.53075082343148e-005 75.1315256171956 -344.845945737467 1889.86394196134 0.059238753673557 0.0113479216867472 0.144407296606173 0.0868619108312644 0.835416159658456 0.0881127145731307 1.68747903694473 1.68881298652078 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 6.38251171464668e-005 75.6984917085634 -346.04033016439 1893.26535160547 0.0615005011773436 0.0112527161337009 0.144701513192867 0.0869218237087419 0.835129772009582 0.0893381194195474 1.70993234152921 1.71120116957776 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 7.90616954103183e-005 69.3970713857355 -300.277754116818 1855.46080641543 0.0439458011694617 0.0121121551712815 0.141771680981202 0.0855990703723482 0.837907584000222 0.0795884749276125 1.57026828175479 1.572088761047 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 7.73973723789469e-005 69.9168073929148 -300.026506180586 1858.5787880702 0.0448036425343315 0.01201658677255 0.14204946920645 0.0856413691839784 0.837635573245611 0.0833741345924817 1.6084479848331 1.61005192251317 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 0.000105467355859244 62.3584369356972 -190.891379688113 1813.23589159258 0.0362585163281984 0.0134936491075138 0.138047544256428 0.0845508765423021 0.841506358593986 0.0721419462574245 1.46816155693141 1.4705103993907 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 0.000103321579269014 62.8211787363086 -188.448640153379 1816.01178234856 0.036574605095115 0.0133868619322604 0.13830206704342 0.0845710248583128 0.841255149465963 0.0730660559205781 1.47117930523617 1.47347152242991 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 0.000132847044076514 57.460643199214 -63.067208663057 1783.85627527231 0.0339464345056808 0.0147797829875146 0.135394556121994 0.084180731314884 0.84410896948375 0.0743345903897586 1.39538088238279 1.39772341945072 1 4.54554811689031e-005 
00003936.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 0.000130230647365974 57.8845266509811 -58.0606904808706 1786.39889310337 0.0340998129877457 0.0146640555721499 0.13561428335534 0.084189691642179 0.843891231786316 0.0748694139340804 1.39225870431853 1.39457556768857 1 4.38932604774717e-005 
00003936.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.000166916954664695 52.9261403130147 105.351173528193 1756.65815020177 0.0329874046741591 0.0162059020772173 0.133214939970573 0.0838707143813415 0.846246966033529 0.0847066021215314 1.11866742232187 1.1208877632003 1 4.54554811689031e-005 
